,MDS1,MDS2,MDS3,PCA1,PCA2,PCA3,TSN1,TSN2,TSN3,name,color,years
0,24.9437674406,-40.9837450523,85.9668726599,-80.4314233586,-16.4328879735,9.89135755887,21.9561696492,-18.2927795726,-2.92544541556,George Washington,#0b75da,#333434
1,21.7039990176,-40.2367401119,86.373155835,-81.054660225,-16.4918055505,9.15969870293,-22.1000650152,5.18314483813,-21.1951775155,George Washington,#0b75da,#333434
2,17.8024831243,-56.7897520083,60.1440973256,-64.2472620022,-22.3088204568,11.6172338699,7.23755512349,31.0201196567,-0.0608263797232,George Washington,#0b75da,#333435
3,25.1269857209,-49.7840052359,79.3739727376,-74.2172209707,-18.4727751153,9.54669871346,10.8735076753,14.4961306101,11.1555359421,George Washington,#0b75da,#333536
4,23.1896717592,-49.9636101816,60.4622549064,-64.7983324985,-22.2535555727,15.7033286301,17.2196300224,5.04289365435,17.9683822135,George Washington,#0b75da,#333637
5,41.3082201347,-40.994908707,60.6644970052,-62.3071672258,-21.952529402,10.5096125217,12.9886523487,6.1526725311,11.8855754191,George Washington,#0b75da,#333639
6,20.0790318011,-47.9723855449,78.26152882,-74.2566839258,-18.3241686341,10.2541970236,11.3926633449,-1.56711264706,7.61319851942,George Washington,#0b75da,#33373a
7,15.6271439175,-52.323496771,49.9278009311,-56.5188371056,-21.8139146778,12.803074203,7.42186609046,4.93013169078,4.71101831471,George Washington,#0b75da,#33383c
8,25.3247177152,-57.7718681486,64.1898208808,-66.2032325903,-22.2774673938,13.664809888,16.155779948,16.2736111608,4.82366048814,John Adams,#3ada0b,#33393d
9,17.5762827769,-54.0730216715,65.384064697,-66.632981929,-21.2041105369,12.6858263809,4.41296228881,7.08172383799,11.5942316451,John Adams,#3ada0b,#333a3e
10,20.5491917611,-40.0543255909,72.962740103,-72.2471593886,-18.8952449388,10.639001383,-21.4104716791,-3.29315928898,41.6787643392,John Adams,#3ada0b,#333a3f
11,22.1739351799,-40.6291579101,78.4448659716,-75.1543146427,-18.0976081378,10.4018447854,30.2066872893,-0.25683020266,12.1921486842,John Adams,#3ada0b,#333b40
12,44.0218338449,-27.1491796395,68.8392358471,-64.7218840175,-17.4833158885,7.76465882731,6.01399337338,12.7894565017,17.8831169604,Thomas Jefferson,#dac90b,#333c41
13,33.4536828529,-32.6629891698,82.0798134696,-72.8149647004,-15.7861307232,9.0973206863,19.0936560004,14.7348167446,13.6540289843,Thomas Jefferson,#dac90b,#333d44
14,33.4043455821,-28.9506983836,69.2800243284,-67.7330574403,-17.5958858112,12.5799257773,-5.78657027703,-3.78383055536,-1.98259958244,Thomas Jefferson,#dac90b,#343e45
15,32.2188545409,-34.5615079059,77.6804076908,-71.7950861577,-16.551379062,11.7568744419,6.63778422636,13.4656096521,4.08590025828,Thomas Jefferson,#dac90b,#343e46
16,43.3684343304,-29.0249350996,75.786878331,-67.4453644318,-15.7950696795,8.01634119093,-0.853661256784,12.5007272737,6.91913205399,Thomas Jefferson,#dac90b,#343f47
17,44.3981870476,-30.2818156868,62.2087083539,-61.5030457891,-18.9486033144,10.4202245867,-7.68771824123,19.7300501497,24.0492382734,Thomas Jefferson,#dac90b,#344048
18,11.3458585823,-51.230549228,75.4311350487,-71.2284622008,-16.2326920419,9.99157268738,3.46732961884,18.7584508439,10.9026746114,Thomas Jefferson,#dac90b,#344049
