,name,MD,year_x,File,Years in office,year_y,Age at inauguration,State elected from,# of electoral votes, # of popular votes , National total votes ,Total electoral votes,Rating points,Political Party,Occupation,College,% electoral,% popular
0,George Washington, January 8,1790,1790_December_8.txt,8,1789.0,57.0,Virginia,69,NA(),NA(),69,842.0,None,Planter,None,100.0,NA()
1,George Washington, December 8,1790,1790_January_8.txt,8,1789.0,57.0,Virginia,69,NA(),NA(),69,842.0,None,Planter,None,100.0,NA()
2,George Washington, October 25,1791,1791_October_25.txt,8,1789.0,57.0,Virginia,69,NA(),NA(),69,842.0,None,Planter,None,100.0,NA()
3,George Washington, November 6,1792,1792_November_6.txt,8,1789.0,57.0,Virginia,69,NA(),NA(),69,842.0,None,Planter,None,100.0,NA()
4,George Washington, December 3,1793,1793_December_3.txt,8,1789.0,57.0,Virginia,69,NA(),NA(),69,842.0,None,Planter,None,100.0,NA()
5,George Washington, November 19,1794,1794_November_19.txt,8,1789.0,57.0,Virginia,69,NA(),NA(),69,842.0,None,Planter,None,100.0,NA()
6,George Washington, December 8,1795,1795_December_8.txt,8,1789.0,57.0,Virginia,69,NA(),NA(),69,842.0,None,Planter,None,100.0,NA()
7,George Washington, December 7,1796,1796_December_7.txt,8,1789.0,57.0,Virginia,69,NA(),NA(),69,842.0,None,Planter,None,100.0,NA()
8,John Adams, November 22,1797,1797_November_22.txt,4,1797.0,61.0,Massachusetts,132,NA(),NA(),139,598.0,Federalist,Lawyer,Harvard,95.0,NA()
9,John Adams, December 8,1798,1798_December_8.txt,4,1797.0,61.0,Massachusetts,132,NA(),NA(),139,598.0,Federalist,Lawyer,Harvard,95.0,NA()
10,John Adams, December 3,1799,1799_December_3.txt,4,1797.0,61.0,Massachusetts,132,NA(),NA(),139,598.0,Federalist,Lawyer,Harvard,95.0,NA()
11,John Adams, November 11,1800,1800_November_11.txt,4,1797.0,61.0,Massachusetts,132,NA(),NA(),139,598.0,Federalist,Lawyer,Harvard,95.0,NA()
12,Thomas Jefferson, December 8,1801,1801_December_8.txt,8,1801.0,57.0,Virginia,73,NA(),NA(),137,711.0,Democratic-Republican,"Planter, Lawyer",William and Mary,53.3,NA()
13,Thomas Jefferson, December 15,1802,1802_December_15.txt,8,1801.0,57.0,Virginia,73,NA(),NA(),137,711.0,Democratic-Republican,"Planter, Lawyer",William and Mary,53.3,NA()
14,Thomas Jefferson, October 17,1803,1803_October_17.txt,8,1801.0,57.0,Virginia,73,NA(),NA(),137,711.0,Democratic-Republican,"Planter, Lawyer",William and Mary,53.3,NA()
15,Thomas Jefferson, November 8,1804,1804_November_8.txt,8,1801.0,57.0,Virginia,73,NA(),NA(),137,711.0,Democratic-Republican,"Planter, Lawyer",William and Mary,53.3,NA()
16,Thomas Jefferson, December 3,1805,1805_December_3.txt,8,1801.0,57.0,Virginia,73,NA(),NA(),137,711.0,Democratic-Republican,"Planter, Lawyer",William and Mary,53.3,NA()
17,Thomas Jefferson, December 2,1806,1806_December_2.txt,8,1801.0,57.0,Virginia,73,NA(),NA(),137,711.0,Democratic-Republican,"Planter, Lawyer",William and Mary,53.3,NA()
18,Thomas Jefferson, October 27,1807,1807_October_27.txt,8,1801.0,57.0,Virginia,73,NA(),NA(),137,711.0,Democratic-Republican,"Planter, Lawyer",William and Mary,53.3,NA()
19,Thomas Jefferson, November 8,1808,1808_November_8.txt,8,1801.0,57.0,Virginia,73,NA(),NA(),137,711.0,Democratic-Republican,"Planter, Lawyer",William and Mary,53.3,NA()
20,James Madison, November 29,1809,1809_November_29.txt,8,1809.0,57.0,Virginia,122,NA(),NA(),176,567.0,Democratic-Republican,Lawyer,Princeton,69.3,NA()
21,James Madison, December 5,1810,1810_December_5.txt,8,1809.0,57.0,Virginia,122,NA(),NA(),176,567.0,Democratic-Republican,Lawyer,Princeton,69.3,NA()
22,James Madison, November 5,1811,1811_November_5.txt,8,1809.0,57.0,Virginia,122,NA(),NA(),176,567.0,Democratic-Republican,Lawyer,Princeton,69.3,NA()
23,James Madison, November 4,1812,1812_November_4.txt,8,1809.0,57.0,Virginia,122,NA(),NA(),176,567.0,Democratic-Republican,Lawyer,Princeton,69.3,NA()
24,James Madison, December 7,1813,1813_December_7.txt,8,1809.0,57.0,Virginia,122,NA(),NA(),176,567.0,Democratic-Republican,Lawyer,Princeton,69.3,NA()
25,James Madison, September 20,1814,1814_September_20.txt,8,1809.0,57.0,Virginia,122,NA(),NA(),176,567.0,Democratic-Republican,Lawyer,Princeton,69.3,NA()
26,James Madison, December 5,1815,1815_December_5.txt,8,1809.0,57.0,Virginia,122,NA(),NA(),176,567.0,Democratic-Republican,Lawyer,Princeton,69.3,NA()
27,James Madison, December 3,1816,1816_December_3.txt,8,1809.0,57.0,Virginia,122,NA(),NA(),176,567.0,Democratic-Republican,Lawyer,Princeton,69.3,NA()
28,James Monroe, December 12,1817,1817_December_12.txt,8,1817.0,58.0,Virginia,183,NA(),NA(),221,602.0,Democratic-Republican,Lawyer,William and Mary,82.8,NA()
29,James Monroe, November 16,1818,1818_November_16.txt,8,1817.0,58.0,Virginia,183,NA(),NA(),221,602.0,Democratic-Republican,Lawyer,William and Mary,82.8,NA()
30,James Monroe, December 7,1819,1819_December_7.txt,8,1817.0,58.0,Virginia,183,NA(),NA(),221,602.0,Democratic-Republican,Lawyer,William and Mary,82.8,NA()
31,James Monroe, November 14,1820,1820_November_14.txt,8,1817.0,58.0,Virginia,183,NA(),NA(),221,602.0,Democratic-Republican,Lawyer,William and Mary,82.8,NA()
32,James Monroe, December 3,1821,1821_December_3.txt,8,1817.0,58.0,Virginia,183,NA(),NA(),221,602.0,Democratic-Republican,Lawyer,William and Mary,82.8,NA()
33,James Monroe, December 3,1822,1822_December_3.txt,8,1817.0,58.0,Virginia,183,NA(),NA(),221,602.0,Democratic-Republican,Lawyer,William and Mary,82.8,NA()
34,James Monroe, December 2,1823,1823_December_2.txt,8,1817.0,58.0,Virginia,183,NA(),NA(),221,602.0,Democratic-Republican,Lawyer,William and Mary,82.8,NA()
35,James Monroe, December 7,1824,1824_December_7.txt,8,1817.0,58.0,Virginia,183,NA(),NA(),221,602.0,Democratic-Republican,Lawyer,William and Mary,82.8,NA()
36,John Quincy Adams, December 6,1825,1825_December_6.txt,4,1825.0,57.0,Massachusetts,84,NA(),NA(),261,564.0,Democratic-Republican,Lawyer,Harvard,32.2,NA()
37,John Quincy Adams, December 5,1826,1826_December_5.txt,4,1825.0,57.0,Massachusetts,84,NA(),NA(),261,564.0,Democratic-Republican,Lawyer,Harvard,32.2,NA()
38,John Quincy Adams, December 4,1827,1827_December_4.txt,4,1825.0,57.0,Massachusetts,84,NA(),NA(),261,564.0,Democratic-Republican,Lawyer,Harvard,32.2,NA()
39,John Quincy Adams, December 2,1828,1828_December_2.txt,4,1825.0,57.0,Massachusetts,84,NA(),NA(),261,564.0,Democratic-Republican,Lawyer,Harvard,32.2,NA()
40,Andrew Jackson, December 8,1829,1829_December_8.txt,8,1829.0,61.0,Tennessee,178," 642,553 "," 1,148,018 ",261,632.0,Democrat,Lawyer,None,68.2,56.0
41,Andrew Jackson, December 6,1830,1830_December_6.txt,8,1829.0,61.0,Tennessee,178," 642,553 "," 1,148,018 ",261,632.0,Democrat,Lawyer,None,68.2,56.0
42,Andrew Jackson, December 6,1831,1831_December_6.txt,8,1829.0,61.0,Tennessee,178," 642,553 "," 1,148,018 ",261,632.0,Democrat,Lawyer,None,68.2,56.0
